Index,Lot,Date,Time,pH,Temp,Current,Voltage,Result
1,1,2021-09-06,오후 4:27:17.0,1.51,23.72,3.03,4.52,0
2,1,2021-09-06,오후 4:27:22.0,2.84,27.92,3.11,3.43,0
3,1,2021-09-06,오후 4:27:27.0,1.78,25.44,3.98,4.58,0
4,1,2021-09-06,오후 4:27:32.0,2.8,21.5,3.45,3.1,0
5,1,2021-09-06,오후 4:27:37.0,2.63,27.24,4.47,3.26,0
6,1,2021-09-06,오후 4:27:42.0,2.7,23.55,3.82,3.27,0
7,1,2021-09-06,오후 4:27:47.0,1.63,25.59,3.37,3.17,0
8,1,2021-09-06,오후 4:27:52.0,2.61,25.36,3.87,3.17,0
9,1,2021-09-06,오후 4:27:57.0,1.77,25.11,3.19,4.12,0
10,1,2021-09-06,오후 4:28:02.0,2.85,22.33,3.47,3.51,0
11,1,2021-09-06,오후 4:28:07.0,1.68,24.49,3.56,3.14,0
12,1,2021-09-06,오후 4:28:12.0,1.64,25.71,3.58,4.92,0
13,1,2021-09-06,오후 4:28:17.0,2.8,22.97,3.2,3.74,0
14,1,2021-09-06,오후 4:28:22.0,2.43,24.11,4.38,3.01,0
15,1,2021-09-06,오후 4:28:27.0,2.71,24.3,4.48,3.15,0
16,1,2021-09-06,오후 4:28:32.0,2.54,27.54,4.47,4.77,0
17,1,2021-09-06,오후 4:28:37.0,1.54,23.05,3.55,4.11,0
18,1,2021-09-06,오후 4:28:42.0,2.7,23.72,3.27,4.31,0
19,1,2021-09-06,오후 4:28:47.0,2.9,24.84,3.91,4.69,0
20,1,2021-09-06,오후 4:28:52.0,2.82,21.4,3.82,4.61,0
21,1,2021-09-06,오후 4:28:57.0,1.83,22.14,4.34,4.38,0
22,1,2021-09-06,오후 4:29:02.1,1.95,27.06,3.64,4.18,0
23,1,2021-09-06,오후 4:29:07.1,1.86,21.43,3.13,3.94,0
24,1,2021-09-06,오후 4:29:12.1,2.87,27.69,3.97,4.18,0
25,1,2021-09-06,오후 4:29:17.1,2.8,17.78,3.66,3.87,0
26,1,2021-09-06,오후 4:29:22.1,1.9,24.42,4.3,3.46,0
27,1,2021-09-06,오후 4:29:27.1,2.79,26.06,3.85,4.86,0
28,1,2021-09-06,오후 4:29:32.1,2.33,27.85,3.47,3.08,0
29,1,2021-09-06,오후 4:29:37.1,1.86,22.79,4.34,3.08,0
30,1,2021-09-06,오후 4:29:42.1,2.12,22.13,4.04,4.38,0
31,1,2021-09-06,오후 4:29:47.1,2.98,23.37,3.33,4.79,0
32,1,2021-09-06,오후 4:29:52.1,1.96,23.31,3.68,4.21,0
33,1,2021-09-06,오후 4:29:57.1,2.7,26.66,3.38,3.58,0
34,1,2021-09-06,오후 4:30:02.1,1.82,27.16,3.64,4.03,0
35,1,2021-09-06,오후 4:30:07.1,2.51,22.23,3.1,4.26,0
36,1,2021-09-06,오후 4:30:12.1,2.13,21.63,4.02,4.43,0
37,1,2021-09-06,오후 4:30:17.1,1.56,25.34,3.88,3.73,0
38,1,2021-09-06,오후 4:30:22.1,2.64,24.69,3.06,4.77,0
39,1,2021-09-06,오후 4:30:27.1,2.58,24.98,3.34,4.62,0
40,1,2021-09-06,오후 4:30:32.1,2.9,24.5,4,4.81,0
41,1,2021-09-06,오후 4:30:37.1,2.38,23.84,3.76,3.6,0
42,1,2021-09-06,오후 4:30:42.1,2.98,25.82,3.98,4.21,0
43,1,2021-09-06,오후 4:30:47.2,2.77,24.89,4.12,4.63,0
44,1,2021-09-06,오후 4:30:52.2,2.63,23.12,4.38,4.31,0
45,1,2021-09-06,오후 4:30:57.2,2.19,25.93,3.75,4.31,0
46,1,2021-09-06,오후 4:31:02.2,2.34,22.64,4.39,3.46,0
47,1,2021-09-06,오후 4:31:07.2,1.56,26.75,3.71,4.09,0
48,1,2021-09-06,오후 4:31:12.2,1.79,22.28,3.06,3.27,0
49,1,2021-09-06,오후 4:31:17.2,1.8,23.99,4.11,3.69,0
50,1,2021-09-06,오후 4:31:22.2,1.92,22.29,3.76,4.86,0
